,Ticker,CompanyName,Sector,SubIndustry,HQLocation,DateFirstAdded,CIK,FoundedYear,QuoteURL,WikiPage,HQLocationWikiPage,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,https://www.nasdaq.com/market-activity/stocks/goog,/wiki/Alphabet_Inc.,"/wiki/Mountain_View,_California",50,Communication Services,5020,Media & Entertainment,502030,Interactive Media & Services,50203010,Interactive Media & Services,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies."
21,MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,https://www.nyse.com/quote/XNYS:MO,/wiki/Altria,"/wiki/Richmond,_Virginia",30,Consumer Staples,3020,"Food, Beverage & Tobacco",302030,Tobacco,30203010,Tobacco,Manufacturers of cigarettes and other tobacco products.
22,AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,0001018724,1994,https://www.nasdaq.com/market-activity/stocks/amzn,/wiki/Amazon_(company),"/wiki/Seattle,_Washington",25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail ,255030,Broadline Retail,25503030,Broadline Retail,"Retailers offering a wide range of consumer discretionary merchandise. This Sub-Industry includes general and discount merchandise retailers, department stores and on-line retailers and marketplaces selling mostly consumer discretionary merchandise."
23,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,0001748790,2019 (1860),https://www.nyse.com/quote/XNYS:AMCR,/wiki/Amcor,/wiki/Warmley,15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper & Plastic Packaging Products & Materials,Manufacturers of paper and cardboard containers and packaging.
24,AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902,https://www.nyse.com/quote/XNYS:AEE,/wiki/Ameren,"/wiki/St._Louis,_Missouri",55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities,"Utility companies with significantly diversified activities in addition to core Electric Utility, Gas Utility and/or Water Utility operations."
25,AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,0000006201,1934,https://www.nasdaq.com/market-activity/stocks/aal,/wiki/American_Airlines_Group,"/wiki/Fort_Worth,_Texas",20,Materials,2030,Transportation,203020,Passenger Airlines,20302010,Passenger Airlines,Companies providing primarily passenger air transportation.
26,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,https://www.nasdaq.com/market-activity/stocks/aep,/wiki/American_Electric_Power,"/wiki/Columbus,_Ohio",55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
27,AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,0000004962,1850,https://www.nyse.com/quote/XNYS:AXP,/wiki/American_Express,"/wiki/New_York_City,_New_York",40,Financials,4020,Financial Services ,402020,Consumer Finance,40202010,Consumer Finance,"Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops. Excludes mortgage lenders classified in the Commercial & Residential Mortgage Finance Sub-Industry."
28,AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,0000005272,1919,https://www.nyse.com/quote/XNYS:AIG,/wiki/American_International_Group,"/wiki/New_York_City,_New_York",40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance,"Insurance companies with diversified interests in life, health and property and casualty insurance."
29,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995,https://www.nyse.com/quote/XNYS:AMT,/wiki/American_Tower,"/wiki/Boston,_Massachusetts",60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601080,Specialized REITs,60108030,Telecom Tower REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of telecom towers and related structures that support wireless telecommunications."
30,AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0001410636,1886,https://www.nyse.com/quote/XNYS:AWK,/wiki/American_Water_Works,"/wiki/Camden,_New_Jersey",55,Utilities,5510,Utilities,551040,Water Utilities,55104010,Water Utilities,Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
31,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894,https://www.nyse.com/quote/XNYS:AMP,/wiki/Ameriprise_Financial,"/wiki/Minneapolis,_Minnesota",40,Financials,4020,Financial Services ,402030,Capital Markets,40203010,Asset Management & Custody Banks,"Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts.  Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities. "
32,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930,https://www.nyse.com/quote/XNYS:AME,/wiki/Ametek,"/wiki/Berwyn,_Pennsylvania",20,Materials,1510,Materials,201040,Electrical Equipment,20104010,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry."
33,AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980,https://www.nasdaq.com/market-activity/stocks/amgn,/wiki/Amgen,"/wiki/Thousand_Oaks,_California",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology,"Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering.  Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application."
34,APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932,https://www.nyse.com/quote/XNYS:APH,/wiki/Amphenol,"/wiki/Wallingford,_Connecticut",45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components,"Manufacturers of electronic components. Includes electronic components, connection devices, electron tubes, electronic capacitors and resistors, electronic coil, printed circuit board, transformer and other inductors, signal processing technology/components."
35,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,0000006281,1965,https://www.nasdaq.com/market-activity/stocks/adi,/wiki/Analog_Devices,"/wiki/Wilmington,_Massachusetts",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
36,ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462,1969,https://www.nasdaq.com/market-activity/stocks/anss,/wiki/Ansys,"/wiki/Canonsburg,_Pennsylvania",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
37,AON,Aon,Financials,Insurance Brokers,"London, UK",1996-04-23,0000315293,1982 (1919),https://www.nyse.com/quote/XNYS:AON,/wiki/Aon_(company),"/wiki/London,_UK",40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers,Insurance and reinsurance brokerage firms.
38,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0001841666,1954,https://www.nasdaq.com/market-activity/stocks/apa,/wiki/APA_Corporation,"/wiki/Houston,_Texas",10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.
39,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977,https://www.nasdaq.com/market-activity/stocks/aapl,/wiki/Apple_Inc.,"/wiki/Cupertino,_California",45,Information Technology,4520,Technology Hardware & Equipment,452020,"Technology Hardware, Storage & Peripherals",45202030,"Technology Hardware, Storage & Peripherals","Manufacturers of cellular phones, personal computers, servers, electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers, and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry."
40,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,0000006951,1967,https://www.nasdaq.com/market-activity/stocks/amat,/wiki/Applied_Materials,"/wiki/Santa_Clara,_California",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301010,Semiconductor Materials & Equipment,"Manufacturers of semiconductor equipment, including manufacturers of the raw material and equipment used in the solar power industry."
41,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,0001521332,1994,https://www.nyse.com/quote/XNYS:APTV,/wiki/Aptiv,"/wiki/Dublin,_Ireland",25,Consumer Discretionary,2510,Automobiles & Components,251010,Automobile Components,25101010,Automotive Parts & Equipment,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.
42,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,0000947484,1995,https://www.nasdaq.com/market-activity/stocks/acgl,/wiki/Arch_Capital_Group,"/wiki/Hamilton,_Bermuda",40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance,Companies providing primarily property and casualty insurance.
43,ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,0000007084,1902,https://www.nyse.com/quote/XNYS:ADM,/wiki/ADM_(company),"/wiki/Chicago,_Illinois",30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202010,Agricultural Products & Services,"Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods & Meats Sub-Industry."
44,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,2004,https://www.nyse.com/quote/XNYS:ANET,/wiki/Arista_Networks,"/wiki/Santa_Clara,_California",45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment,"Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges. Excludes cellular phone manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry."
45,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,0000354190,1927,https://www.nyse.com/quote/XNYS:AJG,/wiki/Arthur_J._Gallagher_%26_Co.,"/wiki/Rolling_Meadows,_Illinois",40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers,Insurance and reinsurance brokerage firms.
46,AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,0001267238,1892,https://www.nyse.com/quote/XNYS:AIZ,/wiki/Assurant,"/wiki/Atlanta,_Georgia",40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance,"Insurance companies with diversified interests in life, health and property and casualty insurance."
47,T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,0000732717,1983 (1885),https://www.nyse.com/quote/XNYS:T,/wiki/AT%26T,"/wiki/Dallas,_Texas",50,Communication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services,Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunications services not classified elsewhere. Also includes internet service providers offering internet access to end users.
48,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,0000731802,1906,https://www.nyse.com/quote/XNYS:ATO,/wiki/Atmos_Energy,"/wiki/Dallas,_Texas",55,Utilities,5510,Utilities,551020,Gas Utilities,55102010,Gas Utilities,"Companies whose main charter is to distribute and transmit natural and manufactured gas. Excludes companies primarily involved in gas exploration or production classified in the Oil & Gas Exploration & Production Sub-Industry. Also excludes companies engaged in the storage and/or transportation of oil, gas, and/or refined products classified in the Oil & Gas Storage & Transportation Sub-Industry."
49,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,0000769397,1982,https://www.nasdaq.com/market-activity/stocks/adsk,/wiki/Autodesk,"/wiki/San_Francisco,_California",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
50,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,0000008670,1949,https://www.nasdaq.com/market-activity/stocks/adp,/wiki/ADP_(company),"/wiki/Roseland,_New_Jersey",20,Materials,2020,Commercial  & Professional Services,202020,Professional Services,20202010,Human Resource & Employment Services,"Companies providing business support services relating to human capital management. This Sub-Industry includes employment agencies, employee training, payroll processing, benefit & retirement support services, corporate & job seeker recruitment services, and online job portals generating revenue from fees or commissions for offering recruitment services to companies or job seekers."
51,AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,0000866787,1979,https://www.nyse.com/quote/XNYS:AZO,/wiki/AutoZone,"/wiki/Memphis,_Tennessee",25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail ,255040,Specialty Retail,25504050,Automotive Retail,"Owners and operators of stores specializing in automotive retail.  Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts."
52,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,0000915912,1978,https://www.nyse.com/quote/XNYS:AVB,/wiki/AvalonBay_Communities,"/wiki/Arlington,_Virginia",60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601060,Residential REITs,60106010,Multi-Family Residential REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of apartments and other multi-family housing including student housing."
53,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,0000008818,1990,https://www.nyse.com/quote/XNYS:AVY,/wiki/Avery_Dennison,"/wiki/Mentor,_Ohio",15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper & Plastic Packaging Products & Materials,Manufacturers of paper and cardboard containers and packaging.
54,AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,0001069183,1993,https://www.nasdaq.com/market-activity/stocks/axon,/wiki/Axon_Enterprise,"/wiki/Scottsdale,_Arizona",20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense,"Manufacturers of civil or military aerospace and defense equipment, parts or products. Includes defense electronics and space equipment."
55,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,0001701605,2017,https://www.nasdaq.com/market-activity/stocks/bkr,/wiki/Baker_Hughes,"/wiki/Houston,_Texas",10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells."
56,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,0000009389,1880,https://www.nyse.com/quote/XNYS:BALL,/wiki/Ball_Corporation,"/wiki/Broomfield,_Colorado",15,Materials,1510,Materials,151030,Containers & Packaging,15103010,"Metal, Glass & Plastic Containers","Manufacturers of metal, glass or plastic containers. Includes corks and caps."
57,BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,0000070858,1998 (1923 / 1874),https://www.nyse.com/quote/XNYS:BAC,/wiki/Bank_of_America,"/wiki/Charlotte,_North_Carolina",40,Financials,4010,Banks,401010,Banks,40101010,Diversified Banks,"Large, geographically diverse banks with a national footprint whose revenues are derived primarily from conventional banking operations, have significant business activity in retail banking and small and medium corporate lending, and provide a diverse range of financial services. Excludes banks classified in the Regional Banks and Commercial & Residential Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry."
58,BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,0001390777,1784,https://www.nyse.com/quote/XNYS:BK,/wiki/BNY_Mellon,"/wiki/New_York_City,_New_York",40,Financials,4020,Financial Services ,402030,Capital Markets,40203010,Asset Management & Custody Banks,"Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts.  Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities. "
59,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",1983-09-30,0000701985,1963,https://www.nyse.com/quote/XNYS:BBWI,"/wiki/Bath_%26_Body_Works,_Inc.","/wiki/Columbus,_Ohio",25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail ,255040,Specialty Retail,25504040,Other Specialty Retail,"Owners and operators of specialty retail stores not classified elsewhere. Includes jewelry stores, toy stores, office supply stores, health & vision care stores, and book & entertainment stores."
60,BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456,1931,https://www.nyse.com/quote/XNYS:BAX,/wiki/Baxter_International,"/wiki/Deerfield,_Illinois",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
61,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795,1897,https://www.nyse.com/quote/XNYS:BDX,/wiki/BD_(company),"/wiki/Franklin_Lakes,_New_Jersey",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
